	room	message_count	num_of_players	onboarding_success_rate	final_success_rate	onboarding_types	onboarding_types_fine	game_types	final_agreement	most_common_tokens	onboarding_success_rate_coarse	final_success_rate_coarse	deli_correct	moderator_messages	submits_per_user	performance_gain	unique_tokens_count	tokens_count	submits_per_user	message_entropy	best_onboarding_score
7c3f79ae-33a6-432b-941f-c7daa6047456	7c3f79ae-33a6-432b-941f-c7daa6047456	25	5	0.45	0.6	Counter({'OTHER_ERROR': 3, 'BIASED': 2})	Counter({'E2': 2, '2': 2, 'E': 1})	Counter({'BIASED': 4, 'CORRECT': 1})	0.8	[('test', 4), ('think', 4), ('that', 3), ('final', 2), ('decision', 2)]	0.0	0.2	1	0	1.2	0.14999999999999997	71	176	1.2	0.9745455500297383	0.75
ebc07608-c97c-489c-b541-0206fbd69ff3	ebc07608-c97c-489c-b541-0206fbd69ff3	16	3	0.5	0.75	Counter({'OTHER_ERROR': 2, 'BIASED': 1})	Counter({'H': 1, 'A': 1, '2A': 1})	Counter({'OTHER_ERROR': 3})	1.0	[('rule', 5), ('vowel', 5), ('other', 4), ('with', 3), ('doesnt', 3)]	0.0	0.0	0	0	1.0	0.25	39	126	1.0	0.9965119062478287	0.75
4bb4ff7d-1479-4f85-99ee-5014cbb72c0e	4bb4ff7d-1479-4f85-99ee-5014cbb72c0e	33	4	0.5	0.625	Counter({'OTHER_ERROR': 2, 'BIASED': 2})	Counter({'U8': 2, '3': 1, '8': 1})	Counter({'BIASED': 3, 'CORRECT': 1})	0.75	[('vowel', 5), ('that', 4), ('rule', 4), ('think', 4), ('doesnt', 3)]	0.0	0.25	1	0	1.0	0.125	76	244	1.0	0.9911125919419406	0.75
08c890ac-c67f-4be7-aaba-8c3f31c8abc1	08c890ac-c67f-4be7-aaba-8c3f31c8abc1	26	4	0.5	1.0	Counter({'OTHER_ERROR': 2, 'ALL_CHECKED': 1, 'BIASED': 1})	Counter({'W9E6': 1, 'E6': 1, '6': 1, 'E': 1})	Counter({'CORRECT': 4})	1.0	[('that', 17), ('other', 8), ('side', 8), ('have', 8), ('vowel', 7)]	0.0	1.0	1	0	1.75	0.5	89	355	1.75	0.9610115714257865	0.75
b7cf985f-3c55-4ea1-a2fe-8b76e4357e00	b7cf985f-3c55-4ea1-a2fe-8b76e4357e00	61	5	0.6	1.0	Counter({'OTHER_ERROR': 3, 'BIASED': 1, 'BIASED + ODDS': 1})	Counter({'5Z': 2, 'A2': 1, 'A': 1, 'A25': 1})	Counter({'CORRECT': 5})	1.0	[('flip', 11), ('that', 10), ('over', 8), ('have', 8), ('even', 8)]	0.0	1.0	1	0	1.0	0.4	105	433	1.0	0.884816603108581	0.75
de329530-4cac-4692-94ab-d42b814b19f6	de329530-4cac-4692-94ab-d42b814b19f6	18	2	0.5	0.75	Counter({'OTHER_ERROR': 1, 'BIASED + ODDS': 1})	Counter({'8': 1, '9U8': 1})	Counter({'BIASED + ODDS': 2})	1.0	[('cards', 6), ('flip', 5), ('that', 4), ('other', 4), ('over', 3)]	0.0	0.0	0	0	1.0	0.25	74	223	1.0	0.8524051786494786	0.75
fac1ef00-6500-4583-9d21-fb4dce54ea07	fac1ef00-6500-4583-9d21-fb4dce54ea07	46	5	0.5	1.0	Counter({'BIASED': 2, 'BIASED + ODDS': 1, 'OTHER_ERROR': 1, 'ALL_INCORRECT': 1})	Counter({'2A': 2, '52A': 1, 'A': 1, '2F': 1})	Counter({'CORRECT': 5})	1.0	[('even', 8), ('have', 8), ('that', 8), ('this', 8), ('think', 7)]	0.0	1.0	1	0	1.2	0.5	129	451	1.2	0.9570302876588181	0.75
cf1dcc5d-92fd-4f6f-bc09-6a9c838cf656	cf1dcc5d-92fd-4f6f-bc09-6a9c838cf656	18	3	0.5	1.0	Counter({'CORRECT': 1, 'ALL_INCORRECT': 1, 'BIASED': 1})	Counter({'7A': 1, '8L': 1, '8A': 1})	Counter({'CORRECT': 3})	0.6666666666666666	[('have', 7), ('vowel', 3), ('other', 3), ('side', 3), ('check', 3)]	0.3333333333333333	1.0	0	0	1.0	0.5	49	150	1.0	0.9342064019134053	1.0
3b20ab65-9771-4ffb-a785-e7e5453f7cd4	3b20ab65-9771-4ffb-a785-e7e5453f7cd4	40	3	0.75	0.8333333333333334	Counter({'CORRECT': 1, 'BIASED': 1, 'OTHER_ERROR': 1})	Counter({'7E': 1, '6E': 1, '7': 1})	Counter({'CORRECT': 2, 'BIASED': 1})	0.6666666666666666	[('that', 7), ('other', 5), ('right', 5), ('dont', 5), ('rule', 5)]	0.3333333333333333	0.6666666666666666	0	0	1.0	0.08333333333333337	91	337	1.0	0.9892609387621718	1.0
d799b708-dffb-42bf-b10d-12b82fd074c3	d799b708-dffb-42bf-b10d-12b82fd074c3	7	2	0.5	0.5	Counter({'ALL_CHECKED': 2})	Counter({'4AG9': 2})	Counter({'ALL_CHECKED': 2})	1.0	[('card', 3), ('rule', 3), ('agree', 3), ('because', 3), ('think', 2)]	0.0	0.0	0	0	1.0	0.0	56	128	1.0	0.863120568566631	0.5
